"","Instrument"
"1",2
"107.8681568",107.8681079
"107.8681465",107.8681344
"107.8681572",107.8681513
"107.8681785",107.8681197
"107.8681446",107.8681604
"107.8681903",107.8681385
"107.8681526",107.8681642
"107.8681494",107.8681365
"107.8681616",107.8681151
"107.8681587",107.8681082
"107.8681519",107.8681517
"107.8681486",107.8681448
"107.8681419",107.8681198
"107.8681569",107.8681482
"107.8681508",107.8681334
"107.8681672",107.8681609
"107.8681385",107.8681101
"107.8681518",107.8681512
"107.8681662",107.8681469
"107.8681424",107.868136
"107.8681360",107.8681254
"107.8681333",107.8681261
"107.8681610",107.868145
"107.8681477",107.8681368
