"","CohenD"
"1",0
"2",0.00146137992848788
"3",0.0329126821650643
"4",0.118564887946602
"5",0.103198830395173
"6",0.11728139302765
"7",0.718065555552682
"8",0.00146137992848788
"9",0
"10",0.0322081482411411
"11",0.122652931841945
"12",0.106912299033934
"13",0.121287821612278
"14",0.730000111060563
"15",0.0329126821650643
"16",0.0322081482411411
"17",0
"18",0.153254162167954
"19",0.137408357372946
"20",0.151652987441033
"21",0.753738597331399
"22",0.118564887946602
"23",0.122652931841945
"24",0.153254162167954
"25",0
"26",0.0145768162349977
"27",0.000368076643745446
"28",0.614849100154721
"29",0.103198830395173
"30",0.106912299033934
"31",0.137408357372946
"32",0.0145768162349977
"33",0
"34",0.014102517743279
"35",0.624856858750314
"36",0.11728139302765
"37",0.121287821612278
"38",0.151652987441033
"39",0.000368076643745446
"40",0.014102517743279
"41",0
"42",0.611997002435822
"43",0.718065555552682
"44",0.730000111060563
"45",0.753738597331399
"46",0.614849100154721
"47",0.624856858750314
"48",0.611997002435822
"49",0
