Make and model,Year,Time
Suzuki GSX-R1000,2006,2.35
Suzuki Hayabusa,2002,2.47
Yamaha VMAX,2010,2.5
Kawasaki ZX-12R,2002,2.59
BMW S1000R,2014,2.6
BMW S1000RR,2013,2.6
Ducati 1199 Panigale,2014,2.6
Ducati Diavel,2015,2.6
EBR 1190RX,2014,2.6
Honda CBR1000RR SP,2013,2.6
Kawasaki Ninja ZX-14R,2012,2.6
Yamaha YZF-R1,2015,2.6
Kawasaki Ninja H2,2015,2.60
Kawasaki ZX-10R,2006,2.60
Ducati 1198S,2010,2.7
Ducati 899 Panigale,2014,2.7
Kawasaki ZX-12R,2000,2.7
Yamaha FZ1,2001,2.7
Yamaha MT-09 (FZ-09),2013,2.7
BMW S1000RR,2011,2.70
Suzuki Hayabusa,2010,2.74
BMW K1300S,2009,2.79
Ducati 959 Panigale,2016,2.8
KTM 1190 Adventure,2014,2.8
Suzuki GSX-R600,2003,2.8
Yamaha YZF-R6,2003,2.8
BMW K1300R,2010,2.81
BMW K1200R,2006,2.85
Suzuki B-King,2008,2.86
Yamaha YZF-R1,2010,2.88
Suzuki GSX1200W Inazuma,1998,2.88
Ducati 1199 Panigale S,2013,2.89
BMW S1000XR,2015,2.8
BMW R nineT,2016,2.9
BMW R1200GS,2014,2.9
Ducati Streetfighter 848,2012,2.9
Suzuki GSX-R750,2013,2.9
Yamaha FZR1000,1990,2.9
Yamaha MT-09 (FZ-09),2015,2.9
Yamaha MT-10/FZ-10,2017,2.9
Yamaha YZF-R1,2016,2.9
Ducati 999,2003,2.90
Ducati 749S,2003,2.90
Kawasaki ZX-6R,2003,2.90
Honda CBR900RR,1994,2.90
Suzuki RF900,1994,2.90
Kawasaki 1400GTR/Concours 14,2011,2.9
Honda CBR1100XX,1999,2.91
Ducati Desmosedici RR,2008,2.96
Aprilia Tuono RSV-R,2003,3.0
Kawasaki GPZ900R,1984,3.0
Kawasaki Ninja ZX-9R,1994,3.0
Suzuki Bandit 1250S,2007,3.00
Suzuki GSX-R1100,1986,3.0
BMW R1200RT,2014,3.00
Kawasaki Ninja ZX-6R,2006,3.06
Suzuki SV1000s,2003,3.08
Ducati Multistrada 1200S,2010,3.09
Honda CBR600F4i,2003,3.1
Buell 1125R,2008,3.15
Suzuki TL1000R,1998,3.22
Triumph Speed Triple,2006,3.25
Honda CBR600,1990,3.3
Honda V65 Sabre,1984,3.3
Kawasaki ZZ-R600,1990,3.3
Triumph Rocket III Roadster,2010,3.3
Zero SR,2014,3.3
Honda CBR600RR,2003,3.30
Yamaha VMAX,1997,3.33
Ducati 1299 Panigale S,2015,3.33
Suzuki GSX-R1000,2006,3.35
Triumph Street Triple R,2009,3.36
Harley-Davidson VRSCR,2006,3.4
Honda CBR600F,1987,3.4
Kawasaki Zephyr / ZR1100,1993,3.4
Suzuki TL1000S,1997,3.4
Ducati Sport1000,2000,3.44
Kawasaki Ninja ZX-7R,1996,3.44
Yamaha FZ6,2004,3.44
Triumph Daytona 900,1994,3.4
Suzuki GSX600F,1990,3.5
