County	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Ziebach	0.38	0.53	1.19	1.76	2.98	3.18	2.65	1.69	1.44	1.54	0.59	0.47
Yankton	0.54	0.66	1.73	3.01	3.70	4.02	3.17	3.01	2.75	2.27	1.33	0.73
Walworth	0.35	0.53	1.02	1.68	2.68	3.31	2.78	2.19	1.75	1.66	0.58	0.41
Union	0.66	0.65	1.87	3.11	3.75	4.36	3.54	3.10	3.01	2.32	1.47	0.80
Turner	0.51	0.58	1.63	2.90	3.54	4.01	3.21	2.97	2.85	2.27	1.34	0.66
Tripp	0.36	0.50	1.34	2.40	3.54	3.83	2.79	2.31	2.18	1.70	0.80	0.46
Todd	0.37	0.51	1.23	2.31	3.30	3.48	2.83	1.96	1.83	1.57	0.75	0.45
Sully	0.37	0.53	1.08	1.70	2.95	3.30	2.84	2.05	1.76	1.58	0.60	0.43
Stanley	0.36	0.54	1.09	1.81	2.99	3.18	2.64	1.71	1.60	1.52	0.57	0.40
Spink	0.44	0.53	1.20	2.14	3.02	3.67	3.24	2.57	2.43	1.91	0.73	0.49
Shannon	0.38	0.53	1.13	1.98	2.96	3.17	2.32	1.68	1.55	1.52	0.71	0.44
Sanborn	0.57	0.67	1.63	2.79	3.30	4.06	3.14	2.47	2.62	1.89	1.04	0.60
Roberts	0.68	0.62	1.40	2.21	2.73	3.79	3.41	2.67	2.68	2.19	1.00	0.65
Potter	0.37	0.54	1.09	1.77	2.83	3.33	2.90	2.23	1.83	1.67	0.61	0.41
Perkins	0.39	0.50	1.11	1.66	2.82	2.98	2.34	1.65	1.26	1.34	0.63	0.47
Pennington	0.36	0.52	1.07	1.94	3.32	3.03	2.35	1.70	1.43	1.51	0.67	0.43
Moody	0.50	0.55	1.49	2.70	3.14	4.27	3.36	3.35	3.17	2.23	1.21	0.68
Minnehaha	0.57	0.59	1.66	2.98	3.33	4.16	3.26	3.36	3.01	2.21	1.37	0.77
Miner	0.58	0.65	1.59	2.82	3.28	4.28	3.33	2.90	2.82	2.11	1.13	0.65
Mellette	0.38	0.56	1.29	2.14	3.21	3.42	2.75	1.71	1.74	1.63	0.70	0.44
Meade	0.39	0.51	1.20	1.80	3.31	2.94	2.23	1.58	1.28	1.45	0.65	0.49
McPherson	0.44	0.54	1.07	1.67	2.93	3.50	3.05	2.45	2.01	1.65	0.67	0.47
McCook	0.54	0.60	1.56	2.93	3.47	4.29	3.34	3.21	2.92	2.20	1.27	0.61
Marshall	0.54	0.54	1.23	1.93	2.89	3.91	3.39	2.50	2.55	2.08	0.87	0.58
Lyman	0.38	0.49	1.29	2.15	3.19	3.58	2.65	2.15	1.95	1.65	0.75	0.44
Lincoln	0.52	0.57	1.66	2.96	3.47	4.24	3.39	3.12	2.97	2.21	1.41	0.73
Lawrence	0.71	0.88	1.43	2.65	3.97	3.41	2.60	1.91	1.71	1.96	1.04	0.84
Lake	0.52	0.56	1.46	2.83	3.24	4.27	3.27	3.12	3.11	2.21	1.22	0.64
Kingsbury	0.58	0.64	1.50	2.50	3.18	4.20	3.46	2.82	2.82	2.11	1.05	0.61
Jones	0.39	0.59	1.24	2.08	3.09	3.31	2.65	1.66	1.61	1.56	0.65	0.44
Jerauld	0.51	0.61	1.55	2.67	3.44	3.99	3.05	2.46	2.50	1.92	0.93	0.54
Jackson	0.39	0.56	1.21	1.90	2.98	3.19	2.51	1.72	1.50	1.56	0.64	0.42
Hyde	0.39	0.51	1.25	1.88	2.92	3.38	3.08	2.32	2.01	1.68	0.72	0.46
Hutchinson	0.50	0.64	1.66	2.95	3.54	4.13	3.17	3.18	2.72	2.13	1.20	0.60
Hughes	0.38	0.47	1.11	1.80	2.93	3.28	2.67	2.05	1.75	1.54	0.65	0.41
Harding	0.33	0.41	0.90	1.55	2.69	2.74	2.06	1.45	1.16	1.32	0.58	0.40
Hanson	0.53	0.64	1.64	2.91	3.42	4.30	3.14	2.99	2.72	2.02	1.18	0.58
Hand	0.39	0.56	1.31	2.09	3.10	3.57	2.98	2.34	2.26	1.86	0.73	0.50
Hamlin	0.57	0.56	1.34	2.26	2.91	4.03	3.58	2.95	2.94	2.16	0.97	0.56
Haakon	0.38	0.58	1.26	1.77	3.02	3.13	2.47	1.56	1.41	1.60	0.63	0.42
Gregory	0.44	0.58	1.48	2.79	3.82	4.07	2.96	2.55	2.59	2.09	0.95	0.52
Grant	0.62	0.58	1.33	2.38	2.65	3.74	3.55	2.85	2.65	2.19	1.02	0.61
Faulk	0.45	0.62	1.29	1.96	2.97	3.41	3.04	2.44	2.19	1.78	0.75	0.49
Fall River	0.34	0.50	1.07	1.95	2.92	2.86	2.13	1.58	1.45	1.29	0.63	0.42
Edmunds	0.45	0.60	1.19	1.83	2.93	3.53	3.06	2.45	2.11	1.72	0.74	0.48
Douglas	0.52	0.65	1.58	2.95	3.34	3.87	2.72	2.61	2.54	1.96	1.11	0.57
Dewey	0.36	0.50	1.05	1.67	2.85	3.20	2.74	1.94	1.58	1.52	0.55	0.41
Deuel	0.61	0.62	1.40	2.35	2.85	4.10	3.50	2.95	2.98	2.22	1.13	0.65
Day	0.52	0.55	1.27	2.02	2.84	3.74	3.30	2.68	2.59	2.06	0.87	0.56
Davison	0.57	0.68	1.63	2.95	3.26	4.04	2.86	2.56	2.55	1.88	1.13	0.61
Custer	0.34	0.53	0.97	1.97	3.24	3.02	2.44	1.91	1.50	1.35	0.66	0.42
Corson	0.38	0.50	1.02	1.59	2.68	3.24	2.68	1.87	1.47	1.45	0.60	0.43
Codington	0.61	0.56	1.31	2.16	2.76	3.77	3.51	2.88	2.73	2.15	0.95	0.60
Clay	0.49	0.61	1.74	2.93	3.71	4.30	3.28	2.91	2.97	2.23	1.43	0.68
Clark	0.53	0.58	1.28	2.12	2.93	3.84	3.41	2.75	2.71	2.04	0.90	0.54
Charles Mix	0.50	0.63	1.55	2.91	3.53	3.77	2.78	2.60	2.56	2.01	1.06	0.56
