County	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec
Aurora	18.80	23.27	33.77	46.60	58.18	68.12	74.18	72.46	62.57	48.85	33.97	21.21
Beadle	15.56	20.47	31.83	45.72	57.62	67.36	73.22	71.21	61.33	47.57	32.23	18.75
Bennett	24.03	27.20	35.71	45.88	56.57	66.25	73.74	72.21	61.74	48.36	34.58	24.44
Bon Homme	19.91	24.43	35.03	47.75	59.28	69.32	74.73	72.85	63.28	49.87	34.98	22.34
Brookings	13.09	18.03	29.78	44.08	56.29	65.93	70.79	68.59	59.23	45.99	30.72	16.85
Brown	11.44	16.89	29.10	44.11	56.49	65.89	71.40	69.33	59.10	45.51	29.49	15.74
Brule	19.13	23.57	33.73	46.13	57.59	67.54	74.06	72.39	62.44	48.64	33.80	21.33
Buffalo	17.48	22.24	32.87	45.71	57.38	67.30	73.94	72.29	62.08	48.01	32.99	20.16
Butte	21.17	24.35	32.91	44.08	54.19	64.18	72.03	70.65	59.34	46.05	32.24	21.77
Campbell	13.46	18.40	29.58	43.71	55.54	65.04	71.31	69.74	59.04	45.37	29.64	16.77
Charles Mix	20.63	24.96	35.00	47.16	58.51	68.48	74.61	72.98	63.24	49.62	35.04	22.74
Clark	13.01	17.90	29.69	44.27	56.46	66.06	71.70	69.63	59.80	46.11	30.38	16.67
Clay	18.26	23.01	34.28	47.54	59.26	69.23	73.56	71.41	62.37	49.43	34.37	20.94
Codington	12.33	17.20	29.12	43.81	56.19	65.84	71.20	69.01	59.21	45.78	30.13	16.27
Corson	15.67	20.00	30.35	43.84	55.23	64.81	71.67	70.22	59.12	45.59	30.23	17.97
Custer	24.65	26.95	35.01	43.79	53.79	63.22	70.99	69.56	59.19	46.53	33.93	24.46
Davison	18.39	22.97	33.75	47.00	58.69	68.68	74.35	72.52	62.69	49.00	34.00	20.96
Day	12.07	17.06	29.08	44.01	56.50	65.92	71.40	69.45	59.52	45.96	30.00	16.15
