tree,apple,time,diam
3,1,1,2.91
3,10,1,2.81
3,16,1,2.95
3,17,1,2.79
3,18,1,2.98
3,20,1,2.76
3,22,1,2.76
3,23,1,2.76
3,24,1,2.8
7,2,1,2.79
7,4,1,2.8
7,9,1,3.06
7,25,1,2.84
10,2,1,2.92
10,5,1,2.87
10,8,1,2.76
10,9,1,2.91
10,10,1,2.88
10,17,1,3
10,18,1,2.85
10,21,1,2.76
10,22,1,3.25
10,23,1,3
3,1,2,3
3,10,2,2.89
3,16,2,3
3,17,2,2.83
3,18,2,3.03
3,20,2,2.82
3,22,2,2.82
3,23,2,2.78
3,24,2,2.85
7,2,2,2.89
7,4,2,2.81
7,9,2,3.15
7,25,2,2.86
10,2,2,2.95
10,5,2,2.89
10,8,2,2.81
10,9,2,3.01
10,10,2,2.88
10,17,2,3.05
10,18,2,2.87
10,21,2,2.83
10,22,2,3.34
10,23,2,3.06
3,1,3,3.02
3,10,3,2.87
3,16,3,3.03
3,17,3,2.86
3,18,3,3.06
3,20,3,2.83
3,22,3,2.85
3,23,3,2.77
3,24,3,2.87
7,2,3,2.89
7,4,3,2.85
7,9,3,3.15
7,25,3,2.88
10,2,3,3
10,5,3,2.94
10,8,3,2.86
10,9,3,3.07
10,10,3,2.92
10,17,3,3.05
10,18,3,2.91
10,21,3,2.84
10,22,3,3.34
10,23,3,3.08
3,1,4,3.03
3,10,4,2.93
3,16,4,3.03
3,17,4,2.87
3,18,4,3.09
3,20,4,2.85
3,22,4,2.87
3,23,4,2.79
3,24,4,2.87
7,2,4,2.91
7,4,4,2.91
7,9,4,3.23
7,25,4,2.93
10,2,4,3.01
10,5,4,2.95
10,8,4,2.9
10,9,4,3.09
10,10,4,2.97
10,17,4,3.06
10,18,4,2.95
10,21,4,2.87
10,22,4,3.38
10,23,4,3.14
3,1,5,
3,10,5,2.93
3,16,5,3.06
3,17,5,2.87
3,18,5,3.09
3,20,5,2.86
3,22,5,2.9
3,23,5,2.79
3,24,5,2.89
7,2,5,2.91
7,4,5,2.92
7,9,5,3.27
7,25,5,2.93
10,2,5,3.07
10,5,5,3.01
10,8,5,
10,9,5,3.11
10,10,5,2.97
10,17,5,3.11
10,18,5,2.98
10,21,5,2.88
10,22,5,3.47
10,23,5,3.18
3,1,6,
3,10,6,2.94
3,16,6,3.08
3,17,6,2.93
3,18,6,3.09
3,20,6,2.88
3,22,6,2.9
3,23,6,2.79
3,24,6,2.92
7,2,6,2.95
7,4,6,2.96
7,9,6,3.31
7,25,6,2.96
10,2,6,
10,5,6,3.02
10,8,6,
10,9,6,
10,10,6,2.99
10,17,6,
10,18,6,3
10,21,6,2.91
10,22,6,
10,23,6,
